gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
MUC5AC,1.56458131035983e-40,4.65771902411642,0.504,0.051,7.0512550495297e-36,1,TRUE
LRRC4,2.26753947510226e-40,-3.85018071114009,0.028,0.447,1.02193469063909e-35,0,TRUE
SERPINB2,3.16869420487893e-40,-6.81793159992422,0.016,0.409,1.42806710425483e-35,0,TRUE
KRT13,8.9346198831552e-40,-10.7796455220234,0,0.667,4.02665448894039e-35,11,TRUE
NCOA7,8.97050363684371e-40,2.37446682029761,0.819,0.538,4.04282657905272e-35,0,TRUE
IL1R2,1.02144771199129e-39,-2.17695050506522,0.328,0.776,4.60346054840235e-35,1,TRUE
IGLC3,1.23316672289968e-39,3.84985245698805,0.676,0.173,5.5576357867643e-35,0,TRUE
ADH1C,1.70870552132611e-39,2.30511478822146,0.754,0.441,7.70079404351249e-35,1,TRUE
NTRK2,1.91091975856057e-39,-4.7985821260443,0.022,0.539,8.61213316788078e-35,2,TRUE
NRP2,1.91145073583731e-39,-2.85233178567707,0.073,0.518,8.61452617627157e-35,1,TRUE
CXCL1,2.03825603075106e-39,2.38318693593041,0.925,0.654,9.18601227938889e-35,2,TRUE
NTRK2,2.24873250251287e-39,-3.46511836351772,0.035,0.457,1.0134587642325e-34,0,TRUE
IGKC,2.74960321972615e-39,4.53614829768719,1,0.808,1.23919117906618e-34,11,TRUE
NR4A1,2.95754732465139e-39,2.38880707927788,0.824,0.434,1.33290742827389e-34,2,TRUE
ZFP36,3.6887274325021e-39,1.24190304120709,0.97,0.955,1.66243567928005e-34,1,TRUE
TUBA1C,3.72746703779512e-39,-2.66227478762753,0.283,0.829,1.6798948445935e-34,2,TRUE
SERPINB13,4.99129000727456e-39,-1.83280418714007,0.431,0.885,2.2494745804785e-34,0,TRUE
CD74,5.3684163156595e-39,1.21259873692213,0.975,0.981,2.41943786514142e-34,0,TRUE
IGHG3,5.53692909404223e-39,4.181760198937,0.516,0.077,2.49538320410295e-34,1,TRUE
ANXA1,4.52296212268455e-38,-1.73731649272319,0.541,0.943,2.03840856945147e-33,2,TRUE
IGFBP2,5.75221021162128e-38,1.78636694100307,0.9,0.741,2.59240609817348e-33,2,TRUE
TIAM1,5.77992637975716e-38,-3.46571030481403,0.033,0.435,2.60489722082896e-33,1,TRUE
HES1,8.3395728922064e-38,2.15245915671715,0.871,0.596,3.75847871105958e-33,2,TRUE
HLA-DRA,9.45806654798544e-38,2.71062370446866,0.697,0.345,4.26256143184608e-33,1,TRUE
ALDH1A3,1.21204433928055e-37,-2.47023499313937,0.143,0.607,5.46244142826956e-33,1,TRUE
