pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_NOTCH_SIGNALING,0.807228915662651,1,0.170932335370056,0.223727516081822,0.835462995506685,30,FZD7|PRKCA|CCND1|MAML2|KAT2A|SAP30
HALLMARK_P53_PATHWAY,1,1,0,-0.140642664812936,-0.371477147380179,191,SLC7A11|ERCC5|TRIB3|AK1|HMOX1|TM4SF1|GPX2|SPHK1|KRT17|HBEGF|SLC19A2|KLF4|AEN|UPP1|ATF3|ADA|RHBDF2|PRKAB1|S100A10|SERPINB5|BAK1|SFN|TAP1|OSGIN1|TRIAP1|ALOX15B|RGS16|SAT1|RRAD|RPL36|CDKN1A|FGF13|VWA5A|TAX1BP3|CCND3|RAP2B|NDRG1|TRAF4|KIF13B|CDKN2A|DEF6|RCHY1|RPS27L|PLK3|TNFSF9|NUPR1|DRAM1|WRAP73|S100A4|ZBTB16|EPHA2|BTG2|TCN2|NUDT15|PVT1|PCNA|SEC61A1|PITPNC1
HALLMARK_PANCREAS_BETA_CELLS,0.959910913140312,1,0.0183208529217527,-0.240391456945263,-0.552714860080493,21,PCSK2|SCGN
HALLMARK_PEROXISOME,0.971,1,0.00801915843678622,-0.260535022920172,-0.677304297684827,98,RXRG|CRABP1|ALB|ABCD2|CACNA1B|NR1I2|ABCB1|DIO1|CDK7|SLC25A19|HSD3B7|CTPS1|SLC35B2|YWHAH|BCL10|SOD2|ELOVL5|CADM1|PEX14|STS|ITGB1BP1|CLN6|ABCB9|IDH2|MVP|PRDX1|CTBP1|ECH1|ISOC1|RDH11|HSD11B2|ALDH1A1|ACOT8|SLC25A17|ABCD1
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.980942828485456,1,0.00699634910626994,-0.243122837538188,-0.632988147849027,102,NGF|SLA|FASLG|CXCR4|LCK|TRIB3|IL2RG|CAMK4|PDK1|GNGT1|PRKCB|CDK1|PFN1|FGF17|RIT1|SFN|GNA14|CFL1|PRKAG1|RPTOR|CDKN1A|TBK1|DUSP3|HSP90B1|TNFRSF1A|NFKBIB|MYD88|UBE2N|EIF4E|ARHGDIA|AKT1S1|PLCG1|PPP1CA|ACTR3|ITPR2|CDK2|ARPC3|MAP2K3
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.875257731958763,1,0.0193046440642709,-0.292640142267391,-0.737843985224794,48,EGLN2|NQO1|SRXN1|IPCEF1|GCLM|LSP1|TXNRD1|LAMTOR5|HHEX|SOD2|PRDX4|FTL|HMOX2|PFKP|SBNO2|TXN|G6PD|GCLC|PRDX1|MGST1|ABCC1
HALLMARK_SPERMATOGENESIS,0.98,1,0.00667841440698826,-0.24049732757301,-0.625526343413048,97,ELOVL3|SLC2A5|ART3|GFI1|HOXB1|SCG3|ZPBP|GAD1|ACRBP|ACE|DMC1|CCNA1|KIF2C|LDHC|YBX2|CAMK4|CDK1|SHE|TEKT2|IL12RB2|PCSK1N
HALLMARK_TGF_BETA_SIGNALING,1,1,0.266350657088526,0.153496224733856,0.665483556565267,52,CDKN1C|APC|SMURF1|BMP2|FNTA|ARID4B|CDH1|JUNB|BMPR1A|SMURF2|TRIM33|SMAD1|TJP1|PPP1R15A|NCOR2|XIAP|BMPR2|SPTBN1|SMAD3|SMAD7|KLF10|SMAD6|ACVR1|SKI|PPM1A|UBE2D3|SKIL|ID2|ID3|CDK9|TGFB1|MAP3K7|ID1|TGFBR1|LTBP2|WWTR1|HIPK2|RAB31|CTNNB1|IFNGR2|HDAC1|FKBP1A|PPP1CA|RHOA|FURIN|SLC20A1|TGIF1|BCAR3|PMEPA1|ENG|THBS1|SERPINE1
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.258741258741259,1,0.077274697304471,-0.407990069546196,-1.07837495027615,194,FOSL1|TNFAIP6|MSC|EGR3|CCL20|CLCF1|NR4A3|CCL2|AREG|SERPINE1|SLC16A6|CCL5|CXCL11|KYNU|IL7R|CCL4|CD69|PLAUR|PHLDA2|PHLDA1|SPHK1|SLC2A3|GPR183|DUSP5|OLR1|HBEGF|TNFRSF9|PTGS2|PLAU|SERPINB2|KLF6|EGR2|TRIB1|KLF4|TUBB2A|TNF|GCH1|SIK1|ATF3|F2RL1|SERPINB8|IL23A|GFPT2|EDN1|MAFF|NR4A1|NR4A2|VEGFA|GEM|EHD1|BCL3|MAP3K8|FOSL2|TAP1|SGK1|PER1|F3|ZC3H12A|MCL1|RIPK2|SAT1|CCRL2|PMEPA1|PFKFB3|CDKN1A|RELA|PDE4B|TGIF1|MYC|SOD2|DUSP4|DENND5A|ETS2|IRS2|B4GALT1|PDLIM5|LDLR|TNFSF9|DRAM1|TNFAIP3|TNFAIP2|CCNL1|EGR1|B4GALT5
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.98496993987976,1,0.00617356336775808,-0.242318922327313,-0.631615194446489,108,STC2|CCL2|SLC7A5|MTHFD2|TUBB2A|ATF3|EXOSC4|VEGFA|EDEM1|NABP1|CEBPG|KDELR3|HYOU1|EIF2S1|XBP1|ALDH18A1|PDIA5|ATF4|HSP90B1|NOLC1|EIF4A1|ERN1|ARFGAP1|ERO1A|EIF4E|XPOT|SLC1A4|TATDN2|EDC4|ATP6V0D1|PREB|SERP1|SPCS3|SHC1|SPCS1|NHP2|CXXC1|DNAJB9|LSM1|SSR1|SRPRB|EIF4A3|LSM4
